Date, scanner, mean_snr, mean_tsnr
2024-01-03, fmrif3td, 290.6, 180.45
2024-01-04, fmrif3td, 271.46, 168.88
2024-01-05, fmrif3td, 280.69, 170.06
2024-01-08, fmrif3td, 285.47, 175.11
2024-01-10, fmrif3td, 292.78, 177.5
2024-01-11, fmrif3td, 285.44, 180.93
2024-01-12, fmrif3td, 269.6, 181.87
2024-01-17, fmrif3td, 282.06, 172.45
2024-01-18, fmrif3td, 275.45, 172.49
2024-01-19, fmrif3td, 298.9, 165.67
2024-01-20, fmrif3td, 292.37, 179.33
2024-01-22, fmrif3td, 293.43, 178.63
2024-01-23, fmrif3td, 281.29, 176.29
2024-01-24, fmrif3td, 274.91, 176.54
2024-01-25, fmrif3td, 298.27, 170.39
2024-01-26, fmrif3td, 278.18, 186.69
2024-01-29, fmrif3td, 291.97, 180.56
2024-01-30, fmrif3td, 282.19, 172.63
2024-01-31, fmrif3td, 279.38, 175.27
2024-02-01, fmrif3td, 297.24, 181.78
2024-02-02, fmrif3td, 298.22, 176.11
2024-02-03, fmrif3td, 295.18, 171.28
2024-02-04, fmrif3td, 294.32, 174.74
2024-02-05, fmrif3td, 295.98, 171.28
2024-02-06, fmrif3td, 303.67, 159.68
2024-02-07, fmrif3td, 279.76, 174.34
2024-02-08, fmrif3td, 277.08, 174.72
2024-02-09, fmrif3td, 306.11, 175.72
2024-02-12, fmrif3td, 281.06, 176.85
2024-02-13, fmrif3td, 280.81, 165.38
2024-02-15, fmrif3td, 301.87, 173.38
2024-02-16, fmrif3td, 576.28, 227.49
2024-02-18, fmrif3td, 278.88, 169.61
2024-02-20, fmrif3td, 269.89, 153.1
2024-02-21, fmrif3td, 285.24, 160.5
2024-02-25, fmrif3td, 277.19, 170.01
2024-02-26, fmrif3td, 270.9, 169.57
2024-02-27, fmrif3td, 283.31, 183.71
2024-02-28, fmrif3td, 281.68, 172.89
2024-02-29, fmrif3td, 285.47, 169.66
2024-03-01, fmrif3td, 287.21, 164.17
2024-03-04, fmrif3td, 287.41, 171.68
2024-03-05, fmrif3td, 285.79, 166.49
2024-03-06, fmrif3td, 285.89, 171.37
2024-03-08, fmrif3td, 300.52, 170.25
2024-03-09, fmrif3td, 271.79, 162.94
2024-03-10, fmrif3td, 118.55, 101.44
2024-03-11, fmrif3td, 279.64, 165.19
2024-03-12, fmrif3td, 296.38, 169.36
2024-03-13, fmrif3td, 277.79, 156.04
2024-03-14, fmrif3td, 288.46, 171.48
2024-03-15, fmrif3td, 286.01, 176.03
2024-03-16, fmrif3td, 284.87, 175.36
