Date, scanner, mean_snr, mean_tsnr
2024-04-25, AWP79139, 344.83, 330.21
2024-04-26, AWP79139, 354.18, 337.45
2024-04-27, AWP79139, 410.31, 365.68
2024-04-29, AWP79139, 428.07, 376.49
2024-04-30, AWP79139, 413.54, 397.82
2024-05-01, AWP79139, 427.36, 368.97
2024-05-02, AWP79139, 446.67, 378.55
2024-05-03, AWP79139, 426.99, 405.33
2024-05-06, AWP79139, 417.23, 381.75
2024-05-07, AWP79139, 417.35, 357.04
2024-05-08, AWP79139, 280.89, 216.87
2024-05-09, AWP79139, 468.98, 429.07
2024-05-10, AWP79139, 399.54, 364.41
2024-05-11, AWP79139, 353.49, 314.05
2024-05-13, AWP79139, 351.83, 306.58
2024-05-14, AWP79139, 413.58, 355.7
2024-05-15, AWP79139, 409.7, 379.29
2024-05-16, AWP79139, 436.01, 391.62
2024-05-17, AWP79139, 451.54, 377.12
2024-05-18, AWP79139, 327.2, 330.53
2024-05-19, AWP79139, 319.82, 328.51
2024-05-20, AWP79139, 318.1, 332.51
2024-05-22, AWP79139, 406.52, 375.38
2024-05-29, AWP79139, 403.37, 362.26
2024-05-30, AWP79139, 416.19, 364.03
2024-06-01, AWP79139, 432.81, 406.68
2024-06-03, AWP79139, 438.25, 405.37
2024-06-04, AWP79139, 113.88, 111.59
2024-06-05, AWP79139, 370.97, 380.21
2024-06-06, AWP79139, 379.99, 378.83
2024-06-08, AWP79139, 380.55, 351.17
2024-06-10, AWP79139, 390.3, 340.98
2024-06-11, AWP79139, 388.03, 338.33
2024-06-12, AWP79139, 417.96, 363.69
2024-06-14, AWP79139, 407.31, 382.93
2024-06-15, AWP79139, 409.16, 359.22
2024-06-17, AWP79139, 395, 351.31
2024-06-18, AWP79139, 377.78, 336.4
2024-06-20, AWP79139, 357.8, 359.44
2024-06-21, AWP79139, 380.5, 386.62
2024-06-22, AWP79139, 364.88, 344.49
2024-06-24, AWP79139, 347.99, 338.42
2024-06-25, AWP79139, 396.42, 385.58
2024-06-26, AWP79139, 383.83, 343.92
2024-06-27, AWP79139, 430.08, 413.15
2024-07-02, AWP79139, 399.34, 362.78
2024-07-03, AWP79139, 389.98, 371.62
2024-07-05, AWP79139, 392.8, 374.93
2024-07-09, AWP79139, 393.78, 387.54
2024-07-11, AWP79139, 418.43, 373.76
2024-07-14, AWP79139, 423.09, 387.55
2024-07-15, AWP79139, 450.41, 399.45
2024-07-19, AWP79139, 412.87, 363.55
2024-07-20, AWP79139, 431.27, 384.18
2024-07-21, AWP79139, 422.94, 379.62
2024-07-22, AWP79139, 393, 360.93
2024-07-23, AWP79139, 450.62, 413.81
2024-07-24, AWP79139, 405.07, 392.9
2024-07-25, AWP79139, 385.77, 355.81
2024-07-26, AWP79139, 423.14, 389.82
2024-07-30, AWP79139, 422.06, 373.37
2024-08-01, AWP79139, 365.19, 348.84
2024-08-04, AWP79139, 342.61, 309.01
2024-08-05, AWP79139, 372.06, 313.02
2024-08-06, AWP79139, 358.97, 329.23
2024-08-07, AWP79139, 368.37, 324.37
2024-08-08, AWP79139, 323.32, 348.31
2024-08-09, AWP79139, 401.97, 349.75
