Date, scanner, mean_snr, mean_tsnr
2024-01-07, fmrif3ta, 347.69, 219.66
2024-01-08, fmrif3ta, 395.5, 208.47
2024-01-09, fmrif3ta, 354.75, 207.12
2024-01-10, fmrif3ta, 405.99, 178.74
2024-01-12, fmrif3ta, 394.15, 208.34
2024-01-13, fmrif3ta, 387.83, 199.97
2024-01-17, fmrif3ta, 456.88, 224.62
2024-01-18, fmrif3ta, 350.07, 217.39
2024-01-20, fmrif3ta, 385.32, 182.57
2024-01-22, fmrif3ta, 422.79, 210.02
2024-01-30, fmrif3ta, 419.2, 227.66
2024-01-31, fmrif3ta, 391.96, 193.72
2024-02-01, fmrif3ta, 407.42, 219.94
2024-02-02, fmrif3ta, 415.39, 208.35
2024-02-03, fmrif3ta, 392.58, 200.31
2024-02-04, fmrif3ta, 418.78, 209.22
2024-02-07, fmrif3ta, 384.25, 216.5
2024-02-08, fmrif3ta, 353.82, 211.28
2024-02-09, fmrif3ta, 433.88, 204.31
2024-02-10, fmrif3ta, 389.62, 219.21
2024-02-11, fmrif3ta, 324.58, 228.9
2024-02-12, fmrif3ta, 403.89, 224.99
2024-02-14, fmrif3ta, 332.64, 193.08
2024-02-15, fmrif3ta, 408.65, 198.52
2024-02-16, fmrif3ta, 386.01, 200.36
2024-02-17, fmrif3ta, 403.35, 216.36
2024-02-18, fmrif3ta, 393.89, 204.06
2024-02-20, fmrif3ta, 381.12, 216.62
2024-02-21, fmrif3ta, 410.08, 229.9
2024-02-22, fmrif3ta, 373.24, 206.99
2024-02-23, fmrif3ta, 381.88, 190.69
2024-02-24, fmrif3ta, 374.6, 202.36
2024-02-25, fmrif3ta, 391.43, 220.07
2024-02-26, fmrif3ta, 342.99, 194.67
2024-02-27, fmrif3ta, 338.79, 206.99
2024-02-28, fmrif3ta, 380.99, 220.29
2024-02-29, fmrif3ta, 320.53, 204.9
2024-03-02, fmrif3ta, 383.04, 191.72
2024-03-04, fmrif3ta, 388.89, 199.49
2024-03-05, fmrif3ta, 417.28, 217.59
2024-03-06, fmrif3ta, 380.4, 224.42
2024-03-07, fmrif3ta, 381, 195.66
2024-03-09, fmrif3ta, 400.03, 233.24
2024-03-10, fmrif3ta, 426.02, 183.85
2024-03-11, fmrif3ta, 423.14, 183.24
2024-03-12, fmrif3ta, 337.16, 187.72
2024-03-13, fmrif3ta, 368.23, 188.83
2024-03-14, fmrif3ta, 392.56, 195.16
2024-03-15, fmrif3ta, 401.5, 196.78
2024-03-16, fmrif3ta, 350.01, 186.51
2024-03-19, fmrif3ta, 414.27, 221.91
2024-03-20, fmrif3ta, 435.24, 205.39
2024-03-21, fmrif3ta, 384.54, 202.49
2024-03-23, fmrif3ta, 366.85, 223.38
2024-03-24, fmrif3ta, 413.13, 224.22
2024-03-25, fmrif3ta, 353.76, 208.01
2024-03-27, fmrif3ta, 454.34, 216.25
2024-03-28, fmrif3ta, 378.41, 198.25
2024-03-29, fmrif3ta, 373.7, 184.38
2024-03-30, fmrif3ta, 338.47, 209.77
2024-04-01, fmrif3ta, 373.77, 209.43
2024-04-02, fmrif3tb, 396.63, 235.82
2024-04-02, fmrif3ta, 411.46, 215.36
2024-04-03, fmrif3ta, 399.93, 217.07
2024-04-04, fmrif3ta, 395.13, 204.75
2024-04-05, fmrif3ta, 331.21, 192.55
